horizon,forecast,lo95,hi95
1,2.184498441086771,1.472825554067977,2.896171328105565
2,2.2934539188353176,1.2104187639514545,3.3764890737191804
3,1.8484367408637377,0.5088784389019019,3.1879950428255732
4,2.008580678132632,0.43372583236413464,3.5834355239011293
5,2.431176905224649,0.6523402412845618,4.210013569164736
6,2.3754176543578525,0.4060375841689454,4.344797724546759
7,2.3571329119222426,0.21213589051755966,4.502129933326925
8,2.4822696548937797,0.17137048773806152,4.793168822049498
9,2.585060751862912,0.11758213237341852,5.052539371352405
10,2.3682232927158924,-0.2484810007801861,4.98492758621197
11,2.3709953392014658,-0.38820091088424613,5.130191589287177
12,2.373504652127076,-0.5224015607711165,5.269410865025268
